Date,Description,Amount
2026-06-01,ACME CORP PAYROLL,2600.00
2026-06-02,CITYVIEW APARTMENTS RENT,"-$1,850.00"
2026-06-03,"WHOLE HARVEST MARKET, DOWNTOWN",-82.45
2026-06-04,BLUE DOOR CAFE,-14.75
2026-06-05,SHIELD AUTO INSURANCE,-145.00
2026-06-06,SHELL GAS STATION #42,-41.20
2026-06-07,NETFLIX.COM,-15.99
2026-06-08,METRO POWER & LIGHT,"(96.31)"
2026-06-09,AMAZON MKTPLACE,-58.03
2026-06-10,FIBERNET INTERNET,-69.99
2026-06-11,GOLDEN NOODLE HOUSE,-32.50
2026-06-12,COFFEE SHOP,-4.50
2026-06-12,COFFEE SHOP,-4.50
2026-06-13,GREENLEAF PHARMACY,-23.50
2026-06-14,CINEPLEX ODEON,-28.00
2026-06-15,ACME CORP PAYROLL,2600.00
2026-06-16,SPOTIFY USA,-11.99
2026-06-17,EL CAMINO TACO BAR,18.00-
2026-06-18,MYSTERY MERCHANT XYZ,-10.00
2026-06-25,PAYMENT TO REWARDS CARD,-700.00
